,table_name,column_name,column_comment
0,Ad_wideAngle,seq,
1,Ad_wideAngle,resSeq,
2,Ad_wideAngle,targetCnt,
3,Ad_wideAngle,sendCnt,
4,Ad_wideAngle,source,
5,Ad_wideAngle,regDate,
6,AdminBoard,seq,
7,AdminBoard,category,카테고리 코드
8,AdminBoard,boardTitle,제목
9,AdminBoard,boardContent,게시물 내용
10,AdminBoard,isTargetGolfInfo,"특정 골프장 노출 여부 (0:사용, 1:비사용), 비사용인 경우에 전체 노출"
11,AdminBoard,targetGolfInfoSeq,특정 노출 골프장
12,AdminBoard,isContentTop,"게시물 상단 노출 여부(0: 사용, 1: 비사용)"
13,AdminBoard,regAdminUserSeq,작성자 시퀀스
14,AdminBoard,isDeleted,"삭제 여부 (0: 삭제, 1: 비삭제)"
15,AdminBoard,regDate,
16,AdminBoard,editDate,
17,AdminGroup,seq,관리자그룹 고유번호
18,AdminGroup,groupName,관리자그룹 이름
19,AdminGroup,groupType,"대상(0:본사, 1:골프장)"
20,AdminGroup,status,"상태(0: 사용, 1: 미사용, 2:삭제)"
21,AdminGroup,regDate,등록일
22,AdminGroup,regID,등록아이디
23,AdminGroup,editDate,수정일
24,AdminGroup,editID,수정아이디
25,AdminGroupMenu,seq,관리자그룹메뉴 고유번호
26,AdminGroupMenu,groupSeq,관리자그룹 고유번호
27,AdminGroupMenu,menuSeq,그룹소유 메뉴
28,AdminGroupMenu,menuAuth,"메뉴권한(0:전체, 1:읽기)"
29,AdminGroupMenu,status,"상태(0: 사용, 1: 미사용)"
30,AdminGroupMenu,regDate,가입일
31,AdminLog,seq,
32,AdminLog,adminUserId,
33,AdminLog,Url,
34,AdminLog,actionType,"s-검색, v-뷰, i-등록, u-수정, d-삭제, c-변경"
35,AdminLog,keyword,
36,AdminLog,remark,
37,AdminLog,adminUserIP,
38,AdminLog,regDate,
39,AdminMenu,seq,메뉴 고유번호
40,AdminMenu,depth1,상위 메뉴번호
41,AdminMenu,depth2,
42,AdminMenu,depth3,
43,AdminMenu,menuName,메뉴명
44,AdminMenu,menuURL,메뉴URL
45,AdminMenu,status,"상태(0: 정상, 1: 비노출)"
46,AdminMenu,roleType,"권한타입(ROLE_ 0:본사, 1:제휴사)"
47,AdminMenu,editID,수정아이디
48,AdminMenu,editDate,수정일
49,AdminMenu,appType,앱타입(0: 골프예약. 1: 스마트관제)
50,AdminUser,seq,관리자 고유번호
51,AdminUser,adminID,이메일아이디
52,AdminUser,password,비밀번호
53,AdminUser,adminName,adminName 암호화
54,AdminUser,department,department 암호화
55,AdminUser,phoneNum,phoneNum 암호화
56,AdminUser,golfSeq,골프장시퀀스(0:본사)
57,AdminUser,groupSeq,관리자그룹 고유번호
58,AdminUser,passFailCnt,비밀번호 실패횟수
59,AdminUser,status,"상태 (0:정상, 1:미인증, 2: 미사용)"
60,AdminUser,regID,등록아이디
61,AdminUser,regDate,등록일
62,AdminUser,editID,수정아이디
63,AdminUser,editDate,수정일
64,AdminUser,lastLoginDate,마지막 로그인 날짜
65,AdminUser,agency,대행사
66,AdminUser,adminNameEnc,adminNameEnc 암호화
67,AdminUser,departmentEnc,departmentEnc 암호화
68,AdminUser,phoneNumEnc,phoneNumEnc 암호화
69,AdminUser,searchAdminName,searchAdminName 암호화
70,AdminUser,encriptYN,암호화 여부
71,AdminUser,passwordEditDate,패스워드 변경일
72,AdminUser,allowIPs,허용아이피s
73,AdminUser,exceldownYN,엑셀다운로드
74,BooKTimeGreenFeeHIstory,seq,
75,BooKTimeGreenFeeHIstory,bookSeq,
